E,nu,Y,S,D
133154.26122577614,0.2312397282860249,297.77764369417474,810.6356662678041,2.877416802119963
237613.34394586278,0.32742035732684316,300.1641171961474,1128.4547661272234,2.3848386601647844
185769.38899109233,0.3003058362205784,266.80704791113976,1091.7671337454672,2.8653231463870323
209263.99398046796,0.31329911768379964,379.25083549690487,1098.541939916804,2.3649520146330767
168876.68328459057,0.2760052572296383,327.75649361746366,870.0938875999227,2.2034791368189257
199985.57285892346,0.2935664534631717,316.3541123499335,876.7132660479255,2.7262540632880983
237106.0613978011,0.3272239951435514,313.24970907720285,954.715920151405,2.2880778726358058
136076.77608764157,0.33468865731653485,309.6184155403465,889.0536489650049,2.509279103031917
234727.7274449197,0.3258867896333524,308.99296958822544,1144.5509817653779,2.6157235904251346
151134.0629358298,0.25832258787231427,303.5622224213102,910.816912899802,2.631616945050774
