E,nu,Y,S,D
171724.4345402958,0.34195190638704576,330.6566755194044,994.441487278742,2.252904500387581
154503.3740740859,0.30876140939847163,303.46883107188756,993.2024713158063,2.837207378524773
198419.13655347185,0.3131277749046815,359.22507275929826,1028.5433605335838,2.378462664241476
169356.7495487161,0.29298213906446235,342.1352357426741,1042.3456998092588,2.3960728013273616
161649.72588048686,0.2704304727394945,335.005973324526,1011.7631570546702,2.7561583003800676
213446.2711941865,0.3342331986933768,363.6745142948342,955.0995021409943,2.5823098164217697
228924.98771197218,0.325604693532057,302.2979544899437,1004.3034709317626,2.895397530874856
170415.1632460248,0.26345125848887035,304.4596419071697,979.1080810066418,2.3927543287631807
163450.25409437603,0.2678211442733771,357.9457422287582,925.7835523335581,2.4212693960206035
212831.20840193226,0.277674058494644,345.89421942824833,1024.7800688549105,2.3729547364900343
