E,nu,Y,S,D
181475.35501747706,0.2227927480146765,316.1407056931505,1029.197705079649,2.82503541729292
225994.3773088727,0.34366146500968825,363.5311467412501,983.378233941801,2.9530608566129968
157251.56140824774,0.2721875862728574,347.9764560836809,967.6560828517964,2.2938342387215336
206938.2939023853,0.23436090162838702,320.1630506172143,1022.304616594666,2.627779128814246
176958.3474582192,0.32736508123950436,353.30396882972025,977.746442367491,2.691813319535266
211353.94228811603,0.2815179537803275,342.58016451291724,943.249373694934,2.4815433925515515
183354.29670723047,0.29256181548808846,321.0091460820238,978.8689815455364,2.0910884629194664
155036.01472492513,0.34474882645279076,321.5152213753336,940.1267263653878,2.164821027286681
248873.30693230458,0.2990241928143208,367.291759144255,921.3632121127424,2.4280429519097644
241823.38556066834,0.24694427619686354,314.90453039400956,1031.8903279114948,2.3942094923661053
